,Methane Production Rate (L-CH4/L-Day)
AK1,0.31671708177465135
AK2,0.33098849320165386
AK3,0.38756561295070624
AL1,0.42757298961024254
AL2,0.48537946422466693
AL3,0.543996283285637
AR1,0.2404523010596657
AR2,0.23639421010416556
AR3,0.27470261776101323
AZ1,0.502874263515521
AZ2,0.3962185789969175
AZ3,0.34892487466195116
CA1,0.6501679144199902
CA2,0.7307838258627841
CA3,0.6551403861674161
CO1,0.6299901092757226
CO2,0.5995174216143213
CO3,0.4849207730023798
CT1,0.1702544326638569
CT2,0.2843542746937018
CT3,0.477529654901905
DE1,0.15379537284349065
DE2,0.1580699657010768
DE3,0.2910051331693683
FL1,0.6888352052447614
FL2,0.6656481614576972
FL3,0.672038652041421
GA1,0.3159335835945386
GA2,0.1346866995139046
GA3,0.1240453510712508
HI1,0.3849558276044023
HI2,0.6110351035580891
HI3,0.35897911029914004
IA1,0.5652291399019778
IA2,0.5787081077168754
IA3,0.6151654400180459
ID1,0.29695275597979776
ID2,0.33110440608120983
ID3,0.31706244325983013
IL1,0.6294477640978102
IL2,0.6659188595231071
IL3,0.6659188595231071
IN1,0.5635153556873118
IN2,0.48899134930114224
IN3,0.5171899205344122
KS1,0.9810282761736498
KS2,0.9204631122361253
KS3,0.5552944369782717
KY1,0.6900901900282566
KY2,0.5673266381207526
KY3,0.6115648949266761
LA1,0.20170014666541486
LA2,0.4328329150303007
LA3,0.5656825894077839
MA1,0.34622404258212636
MA2,0.13398270873851495
MA3,0.14722679021961768
MD1,0.5350145112003382
MD2,0.6071585585098535
MD3,0.5968583258944924
ME1,0.1632975328289567
ME2,0.15172159642675087
ME3,0.1618782812531561
MI1,0.22511282871308894
MI2,0.23377014818644426
MI3,0.22527883125506526
MN1,0.24961954668710692
MN2,0.2580890742813645
MN3,0.2541891737851979
MO1,0.36792875837315187
MO2,0.3317395160231906
MO3,0.47129504315153
MS1,0.5391688510309627
MS2,0.4654083503551922
MS3,0.4444498032253077
MT1,0.5896791112140156
MT2,0.7043928566739541
MT3,0.5555637016413745
NC1,0.3656791002640488
NC2,0.20619446791571192
NC3,0.6355487195696283
ND2,0.5546583596358431
ND3,0.5190120338688808
NE1,0.42644126839943364
NE2,0.4625688586275777
NE3,0.36243346367046764
NH1,0.15308291042302702
NH2,0.15227379531503335
NH3,0.1359220541608064
NJ1,0.11724245435029318
NJ2,0.13339230897824492
NJ3,0.109519971755008
NM1,0.496034782297784
NM2,0.5797192012258771
NM3,0.6277167292447118
NV1,0.13441452805199755
NV2,0.12634904380149473
NV3,0.1332434978278315
NY1,0.16611577638870917
NY2,0.1625331938018243
NY3,0.17667359834213964
OH1,0.4097575117826404
OH2,0.387389288586177
OH3,0.37690424561966185
OK1,0.6559614301329008
OK2,0.7281321420643044
OK3,0.8059277878593434
OR1,0.25822599369463506
OR2,0.5791427340556574
OR3,0.4116782580981882
PA1,0.6257555937558548
PA2,0.5235754285492651
PA3,0.7062806761003231
SC1,0.5002062906700689
SC2,0.5102890478130737
SC3,0.678776321052259
SD1,0.20400510384664486
SD2,0.1667234635582845
SD3,0.24879377560741445
TNS1,0.4796128422461134
TNS2,0.62971716653195
TNS3,0.6322383436512305
TX1,0.500105631330265
TX2,0.3503232501280631
TX3,0.45190546308033186
UT1,0.09337812344674971
UT2,0.10165120553431799
UT3,0.1128832161579146
VA1,0.2545749049170249
VA2,0.12597674326863564
VA3,0.12898921590527784
VT1,0.24528229979177404
VT2,0.3145038853420535
VT3,0.2695074567106335
WA1,0.6317793956112987
WA2,0.5670278713212398
WA3,0.5920109944828986
WI1,0.3805141647062769
WI2,0.5557830974772632
WI3,0.5014668406506849
WI4,0.5094665523551737
WI5,0.5680195702751669
WI6,0.6193001092083015
WV1,0.22905174634374048
WV2,0.23271558596832026
WV3,0.1943191141935662
WY1,0.2558231478195
WY2,0.3175942472862009
WY3,0.13101001187259478
